ID,official_name,type,subchapter,spelling,variant_checked
ID233,Tzitzicton,plant,07b,tzitzicton,tzitzicton
ID233,Tzitzicton,plant,08h,tzitzicton,tzitzicton
ID234,Tzon-pachtzin,plant,09b,tzom-pachtin,tzom-pachtin
ID235,Tzonpilihuiz-patli,plant,06h,tzonpilihuiz-patli,tzonpilihuiz-patli
ID236,Tzon-pilihuiz-xihuitl,plant,04a,tzonpilihuiz-xihuitl,tzonpilihuiz-xihuitl
ID236,Tzon-pilihuiz-xihuitl,plant,07g,tzonpilihuiz-xihuitl,tzonpilihuiz-xihuitl
ID237,Tzopelica-cococ,plant,06b,tzopelica-cococ,tzopelica-cococ
ID240,Xal-tomatl,plant,05e,xal-tomatl,xal-tomatl
ID240,Xal-tomatl,plant,09e,xal-tomatl,xal-tomatl
ID240,Xal-tomatl,plant,11a,xal-tomatl,xal-tomatl
ID241,Xa-xocotl,plant,07k,xa-xocotl,xa-xocotl
ID241,Xa-xocotl,plant,09e,xa-xocotl,xa-xocotl
ID242,Xe-xihuitl,plant,08j,xe-xihuitl,xe-xihuitl
ID243,Xilo-xochitl,plant,09m,xilo-xochitl,xilo-xochitl
ID245,Xiuh-patli,plant,11c,xiuhpatli,xiuhpatli
ID246,Xiuh-tlemaitl,plant,09k,xiuh-tlemaitl,xiuh-tlemaitl
ID247,Xiuhtontli,plant,05h,xiuhtontli,xiuhtontli
ID247,Xiuhtontli,plant,07i,xiuhtontli,xiuhtontli
ID247,Xiuhtontli,plant,08a,xiuh-tontli,xiuh-tontli
ID247,Xiuhtontli,plant,08h,xiuhtontli,xiuhtontli
ID247,Xiuhtontli,plant,09f,xiuh-tontli,xiuh-tontli
ID247,Xiuhtontli,plant,09f,xiuhtontli,xiuhtontli
ID250,Ohua-xoxocoyolin,plant,07j,ohua-xocoyolin,ohua-xocoyolin
ID250,Ohua-xoxocoyolin,plant,08c,ohua-xocoyolin,ohua-xocoyolin
ID250,Ohua-xoxocoyolin,plant,09h,ohua-xocoyolin,ohua-xocoyolin
ID252,xoxouhca-patli,plant,03a,xoxouhqui-patli,xoxouhqui-patli
ID252,xoxouhca-patli,plant,06i,quetzal-xoxouhqui,quetzal-xoxouhqui
ID252,xoxouhca-patli,plant,08g,xoxouhca-patli,xoxouhca-patli
ID253,xoxouhqui-itzli,plant,07h,xoxouhqui-itzli,xoxouhqui-itzli
ID254,Zaca-matlalin,plant,09b,zaca-matlalin,zaca-matlalin
ID254,Zaca-matlalin,plant,09o,zaca-matlalin,zaca-matlalin
ID255,Zozoyatic,plant,10i,zozoyatic,zozoyatic
ID256,Temamatlatzin,plant,05i,temamatlatzin,temamatlatzin
ID257,Tonatiuh yxiuh v1,plant,06f,tonatiuh yxiuh,tonatiuh yxiuh
ID257,Tonatiuh yxiuh v1,plant,06g,tonatiuh yxiuh,tonatiuh yxiuh
ID257,Tonatiuh yxiuh v1,plant,08e,tonatiuh-yxiuh,tonatiuh-yxiuh
ID257,Tonatiuh yxiuh v1,plant,09b,tonatiuh yxiuh,tonatiuh yxiuh
ID257,Tonatiuh yxiuh v1,plant,09e,tonatiuh-yxiuh,tonatiuh-yxiuh
ID257,Tonatiuh yxiuh v1,plant,09h,tonatiuh-yxiuh,tonatiuh-yxiuh
ID257,Tonatiuh yxiuh v1,plant,09o,tonatiuh-yxiuh,tonatiuh-yxiuh
ID257,Tonatiuh yxiuh v1,plant,10d,tonatiuh-yxiuh,tonatiuh-yxiuh
ID257,Tonatiuh yxiuh v1,plant,13a,tonatiuh yxiuh,tonatiuh yxiuh
ID258,Tonatiuh yxiuh v2,plant,07h,tonatiuh-yxiuh,tonatiuh-yxiuh
ID259,Tecpatl,plant,06f,tecpatl,tecpatl
ID260,Tetlahuitl v1,plant,07b,tetlahuitl,tetlahuitl
ID261,Chichic-xihuitl,plant,07m,chichic-xihuitl,chichic-xihuitl
ID263,teco-xochiti-xihuitl,plant,09b,teco-xochiti-xihuitl,teco-xochiti-xihuitl
ID264,tepaquilti quahuitl,plant,09q,tepaquilti quahuitl,tepaquilti quahuitl
ID265,A-camallo-tetl v1,plant,12a,a-camallo-tetl,a-camallo-tetl
ID266,tetlahuitl v2,stone,01a,tetlahuitl,tetlahuitl
ID266,tetlahuitl v2,stone,03a,tetlahuitl,tetlahuitl
ID266,tetlahuitl v2,stone,07c,tetlahuitl,tetlahuitl
ID266,tetlahuitl v2,stone,08j,tetlahuitl,tetlahuitl
ID266,tetlahuitl v2,stone,08k,tetlahuitl,tetlahuitl
ID266,tetlahuitl v2,stone,08l,tetlahuitl,tetlahuitl
ID266,tetlahuitl v2,stone,09f,tetlahuital,tetlahuital
ID266,tetlahuitl v2,stone,10e,tetlahuitl,tetlahuitl
ID266,tetlahuitl v2,stone,11c,tetlahuitl,tetlahuitl
ID267,iztac tlalli,stone,01a,iztac tlalli,iztac tlalli
ID268,eztetl,stone,01a,eztetl,eztetl
ID268,eztetl,stone,03a,eztetl,eztetl
ID268,eztetl,stone,05d,ez-tetl,ez-tetl
ID268,eztetl,stone,08d,eztetl,eztetl
ID268,eztetl,stone,08j,eztetl,eztetl
ID268,eztetl,stone,08k,eztetl,eztetl
ID268,eztetl,stone,08l,eztetl,eztetl
ID268,eztetl,stone,09e,eztetl,eztetl
ID268,eztetl,stone,09f,eztetl,eztetl
ID268,eztetl,stone,10e,eztetl,eztetl
ID268,eztetl,stone,11a,eztetl,eztetl
ID268,eztetl,stone,11b,eztetl,eztetl
ID268,eztetl,stone,11c,eztetl,eztetl
ID268,eztetl,stone,13a,eztetl,eztetl
ID269,te-mamatlatzin,stone,01a,te-mamatlatzin,te-mamatlatzin
ID270,atzitzicuilotl,animal,01c,atzitzicuilotl,atzitzicuilotl
ID271,avat-tecolotl,animal,01e,avat-tecolotl,avat-tecolotl
ID272,tlacal-huatzin,stone,01f,tlacalhuatzin,tlacalhuatzin
ID272,tlacal-huatzin,stone,02b,tlacal-huatzin,tlacal-huatzin
ID272,tlacal-huatzin,stone,03a,tlacalhuatzin,tlacalhuatzin
ID272,tlacal-huatzin,stone,07b,tlacahuatzin,tlacahuatzin
ID272,tlacal-huatzin,stone,08j,tlacal-huatzin,tlacal-huatzin
ID272,tlacal-huatzin,stone,08k,tlaca-huatzin,tlaca-huatzin
ID272,tlacal-huatzin,stone,08l,tlacal-huatzin,tlacal-huatzin
ID272,tlacal-huatzin,stone,09e,tlacal-huatzin,tlacal-huatzin
ID272,tlacal-huatzin,stone,10e,tlacal-huatzin,tlacal-huatzin
ID272,tlacal-huatzin,stone,13a,tlacal-huatzin,tlacal-huatzin
ID273,chilmolli,other,02b,chilmolli,chilmolli
ID274,molo-tototl,bird,02b,molo-tototl,molo-tototl
ID276,iztac-quetzaliztli,stone,05c,iztac-quetzaliztli,iztac-quetzaliztli
ID277,chichiltic tapachtli,stone,05c,chichiltic tapachtli,chichiltic tapachtli
ID277,chichiltic tapachtli,stone,05h,chichiltic tapachtli,chichiltic tapachtli
ID277,chichiltic tapachtli,stone,07c,chichiltic tapachtli,chichiltic tapachtli
ID279,a-camallo-tetl v2,stone,05c,NOT FOUND,
ID279,a-camallo-tetl v2,stone,06a,NOT FOUND,
ID279,a-camallo-tetl v2,stone,08j,NOT FOUND,
ID279,a-camallo-tetl v2,stone,09q,NOT FOUND,
ID279,a-camallo-tetl v2,stone,10k,NOT FOUND,
ID280,teo-xihuitl v2,stone,05h,teo-xihuitl,teo-xihuitl
ID281,xiuh-tomolli,stone,07d,xiuh-tomolli,xiuh-tomolli
ID281,xiuh-tomolli,stone,07h,xiuh-tomolli,xiuh-tomolli
ID281,xiuh-tomolli,stone,09b,xiuh-tomolli,xiuh-tomolli
ID282,te-xoxoctli,stone,08a,te-xoxoctli,te-xoxoctli
ID283,eca-cohuatl,animal,08f,eca-cohuatl,eca-cohuatl
ID284,huacton,bird,08h,huacton,huacton
ID285,hoxitl,other,08i,hoxitl,hoxitl
ID286,cuetlachtli,animal,08l,cuetlachtli,cuetlachtli
ID287,miztli,animal,08l,miztli,miztli
ID288,ocotochtli,animal,08l,ocotochtli,ocotochtli
ID289,tlaco-ocelotl,animal,08l,tlaco-ocelotl,tlaco-ocelotl
ID290,quetzal-iztli,stone,08l,quetzal-iztli,quetzal-iztli
ID291,huexo-canauhtli,bird,08l,huexo-canauhtli,huexo-canauhtli
ID291,huexo-canauhtli,bird,09b,huexo-canauhtli,huexo-canauhtli
ID291,huexo-canauhtli,bird,09e,huexo-canauhtli,huexo-canauhtli
ID291,huexo-canauhtli,bird,09f,huexo-canauhtli,huexo-canauhtli
ID292,huactli,bird,08l,hauctli,hauctli
ID292,huactli,bird,09b,huactli,huactli
ID292,huactli,bird,10a,huactli,huactli
ID292,huactli,bird,10e,huactli,huactli
ID293,apopotli,bird,08l,apopotli,apopotli
ID293,apopotli,bird,09b,apopotli,apopotli
ID294,coyotl,animal,08l,coyotl,coyotl
ID295,huitlalotl,bird,09b,huitlalotl,huitlalotl
ID295,huitlalotl,bird,13a,huitla-tototl,huitla-tototl
ID296,aztatl,bird,09b,aztatl,aztatl
ID297,tlacahuilotl,bird,09b,tlacahuilotl,tlacahuilotl
ID298,xiuh-quechol-tototl,bird,09b,quechol-tototl,quechol-tototl
ID298,xiuh-quechol-tototl,bird,09b,xiuh-quechol-tototl,xiuh-quechol-tototl
ID298,xiuh-quechol-tototl,bird,10e,quechol-tototl,quechol-tototl
ID298,xiuh-quechol-tototl,bird,10e,xiuhquechol-tototl,xiuhquechol-tototl
ID298,xiuh-quechol-tototl,bird,13a,quechol-tototl,quechol-tototl
ID299,tototl,bird,09b,tototl,tototl
ID300,tlapal-tototl,bird,09b,tlpal-tototl,tlpal-tototl
ID300,tlapal-tototl,bird,10e,tlapa-tototl,tlapa-tototl
ID300,tlapal-tototl,bird,13a,tlapal-tototl,tlapal-tototl
ID301,noch-tototl,bird,09b,noch-tototl,noch-tototl
ID301,noch-tototl,bird,09e,noch-totl,noch-totl
ID301,noch-tototl,bird,13a,noch-tototl,noch-tototl
ID302,acatzanatl,bird,09b,acatzanatl,acatzanatl
ID303,zolin,bird,09b,zolin,zolin
ID304,texalli,stone,09b,texalli,texalli
ID305,huitzitzilin,bird,09e,huitzitzilin,huitzitzilin
ID306,cocotli,bird,09e,cocotli,cocotli
ID307,pezotli,animal,09e,pezotli,pezotli
ID309,octli,other,10h,octli,octli
ID309,octli,other,11a,octli,octli
ID310,tlaquatzin,animal,11a,tlaquatzin,tlaquatzin
