ID,official_name,text_subchapters,illustrations,synonyms,type
ID296,aztatl,09b,NA,NA,bird
ID297,tlacahuilotl,09b,NA,NA,bird
ID298,xiuh-quechol-tototl,09b; 10e; 13a,NA,quechol-tototl; xiuhquechol-tototl,bird
ID299,tototl,09b,NA,NA,bird
ID300,tlapal-tototl,09b; 10e; 13a,NA,tlapa-tototl; tlpal-tototl,bird
ID301,noch-tototl,09b; 09e; 13a,NA,noch-totl,bird
ID302,acatzanatl,09b,NA,NA,bird
ID303,zolin,09b,NA,NA,bird
ID304,texalli,09b,NA,NA,stone
ID305,huitzitzilin,09e,NA,NA,bird
ID306,cocotli,09e,NA,NA,bird
ID307,pezotli,09e,NA,NA,animal
ID309,octli,10h; 11a,NA,NA,other
ID310,tlaquatzin,11a,NA,NA,animal
ID002,Acatl,NA,p079_04,NA,plant
ID020,A-yecotli,NA,p050_01,NA,plant
ID026,A-zaca-tzontli,NA,p079_02,NA,plant
ID033,Ez-patli,NA,p033_01,NA,plant
ID035,Teo-ezquahuitl,NA,p068_06,teo-ez-quahuitl,plant
ID040,Iztac-quahuitl,NA,p068_05,iztac quahuitl,plant
ID053,Te-xochitl yamanqui,NA,p064_01,NA,plant
ID067,Cecen-tlacol,NA,p067_08,cecen tlacol,plant
ID075,Cohua-xocotl,NA,p068_04,coa-xocotl,plant
ID086,Coz-canantzi,NA,p067_03,NA,plant
ID089,Chichic texcal-amatl,NA,p078_01,NA,plant
ID098,Huetzcani xochitl,NA,p067_11,NA,plant
ID114,Memeya xiuhtontli,NA,p111_02,memeya xihuitl,plant
ID115,Metzli-yzacauh,NA,p067_10,metzli yzacauh,plant
ID119,Mocuepani-xochitl,NA,p067_05,mocuepani xochitl,plant
ID120,Necouh xochitl,NA,p097_02,NA,plant
ID125,Tlaloc-nochtli,NA,p090_01,NA,plant
ID137,Quauh-huitzihtzil-xochitl,NA,p069_07,quah-huitzihtzil xochitl,plant
ID142,Quauhtla xoxocoyolin,NA,p032_01,NA,plant
ID152,Temahuitztih-quahuitl,NA,p068_01; p069_06,temahuiztih quahuitl,plant
ID158,Te-papa-quilti-quahuitl,NA,p069_05,te-papaquilti quahuitl,plant
ID159,Tepa-quilti xiuhtontli,NA,p067_04,tepaquilti xiuhtontli,plant
ID161,Tepe-papalo-quilitl,NA,p103_01,tepe-papalo quilitl,plant
ID174,Texcal-ama-coztli,NA,p068_03,texcalama-coztli,plant
ID177,Tohmiyo-xihuitl,NA,p111_01,tohmiyo xihuitl,plant
ID183,Tonal-xochitl,NA,p067_06,tonal xochitl,plant
ID184,Xiuhuitl tonalco-mochiva hahuachcho,NA,p012_01,NA,plant
ID186,Totonqui xochitl,NA,p067_01; p067_07,NA,plant
ID188,Totec-yxiuh,NA,p110_03,NA,plant
ID197,Tla-cuilol-quahuitl,NA,p069_01,tlah-cuilol quahuitl,plant
ID228,A-tzitzicaztli,NA,p026_01,NA,plant
ID238,Tzotzoca-xihuitl,NA,p096_01,tzotzoca xihuitl,plant
ID248,Xomalin,NA,p110_02,NA,plant
ID251,Quauhtla xoxocoyolin,NA,p009_01,quauhtla-xoxocoyolin,plant
ID262,Xococ quahuitl,NA,p069_04,NA,plant
